PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-26,19:02:54.32,1,1,"Riojas, Ruger",823162,Right,TEX_LON,"Gambill, Trey",830622,Left,OKL_SOO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.36794,-3.83873,-4.925646,2336.032038,213.427952,1:00,5.79122,3.03454,6.02866,-13.45044,17.40438,10.81973,1.09675,-0.63677,87.11983,-6.410152,-2.989725,0.399791,,,,,,,,,,,,-6.94339,10.33359,-2.65443,50,5.48226,11.40056,-137.80806,-9.66941,-13.35631,30.54116,-12.29638,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,4e1a2bd0-2970-11f1-9400-092303d8cf36,94.28034,,,8.2481,,,,,,,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:02:54.32,2026-03-26T19:02:54.3251968-05:00,2026-03-27T00:02:54.3251968Z,,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Tinney, Carson",806245,Right,TEX_LON,a98bad9a-0dd9-4df2-8787-a33d36c2e27a,54.47124,-138.79544,15.27058,5.78844,-9.27187,-6.14819,-3.02998,11.83236,-6.67815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,216.832359,-1.579458,2335.14449,0.99962,1:15,-0.001328,-0.596058,-0.80294,-33.449948,-1.407994,7.241294,174.484394,3.003576,0.095985,0.052398,-0.994003,3.017521,5.508006,0.052398,0.095985,0.994003,-3.017521,-5.508006,-0.052398,-0.095985,0.994003,-174.484394,-3.003576,-0.095985,-0.052398,-0.994003
2,2026-03-26,19:03:11.78,1,2,"Riojas, Ruger",823162,Right,TEX_LON,"Gambill, Trey",830622,Left,OKL_SOO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,95.33123,-1.728299,-4.323488,2305.732142,204.373502,12:45,5.7101,3.05007,6.10505,-11.66249,19.22391,8.22489,3.13488,-0.27038,86.26287,-4.008567,-2.848434,0.399996,94.16144,26.407821,-5.283976,3107.944825,108.75932,50.81074,-16.47392,345.06339,337.9115,-15.622912,4.475414,-5.55874,10.75827,-2.7215,50,5.57074,10.07159,-138.01028,-4.46885,-10.62819,33.20058,-11.6045,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,587fea10-2970-11f1-9400-092303d8cf36,94.23213,66.82869,,9.06835,,,,0.82232,3.16971,0.2867,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:03:11.78,2026-03-26T19:03:11.7830000-05:00,2026-03-27T00:03:11.7830000Z,FlyBall,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Tinney, Carson",806245,Right,TEX_LON,17443629-faea-4524-9998-98e291361154,54.39352,-139.0632,16.60029,5.70663,-4.10082,-5.80225,-3.04626,10.40865,-5.31409,146.469003,0.82205,123.16959,-23.83793,5.5974,-1.11373,0.20718,-0.03691,0.00479,-0.00028,3.171,61.39743,-15.29754,0.00147,0.24668,-0.11279,0.03093,-0.00422,0.00022,0.28685,-11.3988,-6.06952,1.91651,-0.39379,0.04988,-0.00356,0.00016,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,218.666097,3.266294,2301.986499,0.998376,1:15,-0.096796,-0.6252,-0.774438,-35.707824,-9.835443,4.616246,163.886816,3.921093,0.276886,0.068383,-0.958466,4.0809,16.074442,0.068383,0.276886,0.958466,-4.0809,-16.074442,-0.068383,-0.276886,0.958466,-163.886816,-3.921093,-0.276886,-0.068383,-0.958466
3,2026-03-26,19:04:01.45,2,1,"Riojas, Ruger",823162,Right,TEX_LON,"Johnson, Camden",825128,Left,OKL_SOO,Undefined,1,Top,0,0,0,Cutter,Slider,InPlay,Undefined,Bunt,Sacrifice,1,0,,88.52584,-1.666113,-3.418179,2206.494031,187.295022,12:15,5.84775,2.93358,5.90469,-29.18336,6.59453,0.69894,1.866,-0.18495,81.1478,-7.059458,-3.292961,0.430505,,,,,,,,,,,,-1.33169,4.17457,-2.65907,50,5.69683,7.63864,-128.3639,-4.72899,-2.21757,27.05539,-25.22241,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,761e76e0-2970-11f1-9400-092303d8cf36,87.55392,,,7.37805,,,,,,,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:04:01.45,2026-03-26T19:04:01.4540000-05:00,2026-03-27T00:04:01.4540000Z,,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Tinney, Carson",806245,Right,TEX_LON,9d872794-4a4f-404e-ac8b-91f49551ca60,54.59576,-129.32892,13.52769,5.84946,-3.82934,-12.61121,-2.93294,7.71774,-1.10878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,229.781526,69.675846,766.38377,0.347331,1:45,-0.941353,-0.292371,-0.168446,36.249823,27.5073,41.205648,133.841069,0.672601,0.721214,0.011739,-0.692613,0.970992,46.15482,0.011739,0.721214,0.692613,-0.970992,-46.15482,-0.011739,-0.721214,0.692613,-133.841069,-0.672601,-0.721214,-0.011739,-0.692613
4,2026-03-26,19:04:41.15,3,1,"Riojas, Ruger",823162,Right,TEX_LON,"Brock, Brendan",833392,Right,OKL_SOO,Undefined,1,Top,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.30904,-0.894508,-4.233763,2138.059677,223.768715,1:30,5.99718,2.86836,5.76061,-30.44399,5.6204,4.32268,2.62524,-0.71933,81.10379,-6.50017,-3.462783,0.432226,,,,,,,,,,,,-3.35284,3.44299,-2.51964,50,5.90432,9.29158,-127.97323,-3.07053,-5.57475,25.76232,-26.44941,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,8dc8a950-2970-11f1-9400-092303d8cf36,87.20545,,,7.20524,,,,,,,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:04:41.15,2026-03-26T19:04:41.1583488-05:00,2026-03-27T00:04:41.1583488Z,,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Tinney, Carson",806245,Right,TEX_LON,0f0c2923-370e-44b7-b659-ecf450fdebf3,54.73928,-128.92376,12.88116,5.99961,-2.09464,-13.2247,-2.86626,9.49726,-2.78738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,214.71801,71.57322,675.824628,0.316092,1:15,-0.962403,-0.194816,-0.189283,61.347305,19.67611,47.994529,136.922001,6.266026,0.678913,0.109145,-0.726061,8.548961,42.758763,0.109145,0.678913,0.726061,-8.548961,-42.758763,-0.109145,-0.678913,0.726061,-136.922001,-6.266026,-0.678913,-0.109145,-0.726061
5,2026-03-26,19:04:59.73,3,2,"Riojas, Ruger",823162,Right,TEX_LON,"Brock, Brendan",833392,Right,OKL_SOO,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.42034,-0.67604,-3.192162,2500.413787,18.539243,6:30,5.99849,2.84848,5.51569,-51.88672,-10.23784,-3.83933,1.04145,-0.45943,76.4622,-10.041107,-3.876813,0.464486,,,,,,,,,,,,1.09685,-4.77792,-2.56735,50,5.90383,6.82279,-119.64733,-3.2519,1.59305,22.67067,-39.11333,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,98df19f0-2970-11f1-9400-092303d8cf36,81.14863,,,5.95814,,,,,,,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:04:59.73,2026-03-26T19:04:59.7365760-05:00,2026-03-27T00:04:59.7365760Z,,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Tinney, Carson",806245,Right,TEX_LON,6205c93e-27ec-4e75-932c-d0e7f185321f,54.98852,-120.58885,11.33534,6.00515,-1.62752,-19.55667,-2.84933,6.75663,0.79653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,32.527662,68.141792,930.931349,0.372311,7:00,-0.911482,0.18923,0.36523,-71.874953,13.863003,77.924919,177.331366,5.341233,0.046357,0.093087,-0.994578,5.346998,2.657038,0.093087,0.046357,0.994578,-5.346998,-2.657038,-0.093087,-0.046357,0.994578,-177.331366,-5.341233,-0.046357,-0.093087,-0.994578
6,2026-03-26,19:05:18.47,3,3,"Riojas, Ruger",823162,Right,TEX_LON,"Brock, Brendan",833392,Right,OKL_SOO,Undefined,1,Top,1,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.53005,-0.942383,-2.938554,2447.882167,11.484727,6:30,5.94252,2.78697,5.90252,-46.69546,-6.70528,-1.6039,1.17518,-0.07698,77.27407,-9.454852,-3.22669,0.455143,,,,,,,,,,,,0.01642,-2.82366,-2.54967,50,5.8399,6.28876,-121.29599,-3.59418,0.02446,23.46862,-36.38564,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,a417dfa0-2970-11f1-9400-092303d8cf36,82.81443,,,6.25598,,,,,,,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:05:18.47,2026-03-26T19:05:18.4753152-05:00,2026-03-27T00:05:18.4753152Z,,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Tinney, Carson",806245,Right,TEX_LON,f4390751-0a31-433e-9044-aba4b5433008,54.59964,-122.18269,11.73431,5.94973,-2.21943,-18.19282,-2.78725,6.28784,0.01223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,32.138509,73.778382,683.824248,0.279353,7:00,-0.94911,0.132795,0.285578,95.421533,-39.094735,73.743926,175.71617,12.586044,0.072902,0.217906,-0.973243,12.620176,4.180703,0.217906,0.072902,0.973243,-12.620176,-4.180703,-0.217906,-0.072902,0.973243,-175.71617,-12.586044,-0.072902,-0.217906,-0.973243
7,2026-03-26,19:05:39.27,3,4,"Riojas, Ruger",823162,Right,TEX_LON,"Brock, Brendan",833392,Right,OKL_SOO,Undefined,1,Top,1,1,2,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.04556,-1.279082,-4.79225,2254.146015,177.803779,12:00,5.97938,2.7538,5.68261,-27.3599,8.17678,-0.27319,2.50271,-1.7465,82.05858,-6.309274,-4.840796,0.429052,,,,,,,,,,,,-1.11287,4.8213,-2.34913,50,5.8541,10.82123,-128.9363,-3.85124,-1.88479,25.2858,-24.00856,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,b07b69b0-2970-11f1-9400-092303d8cf36,87.85054,,,6.98698,,,,,,,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:05:39.27,2026-03-26T19:05:39.2783872-05:00,2026-03-27T00:05:39.2783872Z,,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Tinney, Carson",806245,Right,TEX_LON,dfd65822-aa3d-411a-b482-ff396e63e3c8,54.81695,-129.87752,12.6429,5.98082,-2.95757,-12.00428,-2.75323,10.89139,-0.94239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.725552,67.593193,859.235878,0.38118,1:15,-0.940579,-0.25904,-0.219567,54.336555,20.390255,48.440732,136.167234,5.092729,0.689822,0.088768,-0.718517,7.042822,43.616008,0.088768,0.689822,0.718517,-7.042822,-43.616008,-0.088768,-0.689822,0.718517,-136.167234,-5.092729,-0.689822,-0.088768,-0.718517
8,2026-03-26,19:06:03.54,3,5,"Riojas, Ruger",823162,Right,TEX_LON,"Brock, Brendan",833392,Right,OKL_SOO,Undefined,1,Top,1,2,2,Cutter,Slider,InPlay,Undefined,GroundBall,Out,2,0,,88.0727,-1.306321,-3.78097,2211.118245,155.291162,11:15,5.98438,2.84743,5.79037,-32.18458,4.42638,-1.46524,2.08424,-0.7971,80.17042,-7.239852,-4.042697,0.435489,80.62172,-40.218689,8.946556,,,,,3.89696,3.89696,17.720409,0.027034,-0.41189,3.00319,-2.53479,50,5.85726,8.49022,-127.5496,-4.03371,-0.67165,28.72858,-27.27697,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,bef29180-2970-11f1-9400-092303d8cf36,86.55205,2.06878,,7.90228,,,,1.29538,2.06878,0.80567,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:06:03.54,2026-03-26T19:06:03.5470000-05:00,2026-03-27T00:06:03.5470000Z,GroundBall,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Tinney, Carson",806245,Right,TEX_LON,745cc05e-d482-4a66-b202-62f602fff80e,54.70903,-128.60586,14.36429,5.98713,-3.03082,-13.63848,-2.8474,8.51492,-0.33582,,1.29449,89.39479,,,,,,,,2.06953,-76.52547,,,,,,,,0.80553,14.07328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,223.373993,72.011471,682.852095,0.308827,1:30,-0.95878,-0.233717,-0.161609,49.88935,23.785326,45.86658,135.618859,1.864973,0.699058,0.032544,-0.714324,2.608556,44.351448,0.032544,0.699058,0.714324,-2.608556,-44.351448,-0.032544,-0.699058,0.714324,-135.618859,-1.864973,-0.699058,-0.032544,-0.714324
9,2026-03-26,19:10:50.11,1,1,"Mercurius, LJ",702969,Right,OKL_SOO,"Mendoza, Ethan",806453,Right,TEX_LON,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.03145,-2.751111,-2.20876,2303.175093,201.344562,12:45,5.92885,1.84708,6.28444,-13.12383,18.98005,6.98465,2.29582,0.39243,84.41401,-5.301262,-0.947033,0.407803,,,,,,,,,,,,-4.2587,10.9778,-1.68725,50,5.71906,4.90135,-134.88524,-6.80555,-7.78641,31.41738,-12.10265,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,69b244d0-2971-11f1-9400-092303d8cf36,92.42815,,,8.61744,,,,,,,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:10:50.11,2026-03-26T19:10:50.1102080-05:00,2026-03-27T00:10:50.1102080Z,,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Brock, Brendan",833392,Right,OKL_SOO,1dfda43c-5529-484c-9ae8-9984773fdb09,54.21238,-135.86284,15.70869,5.92497,-6.42896,-6.05133,-1.84353,5.14364,-3.89321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,216.990565,-1.928045,2301.871191,0.999434,1:15,0.031656,-0.599035,-0.800097,-39.04963,30.304676,-13.5109,146.456715,-3.755353,0.55138,-0.065496,-0.831679,4.502862,-33.461761,0.065496,-0.55138,0.831679,-4.502862,33.461761,-0.065496,0.55138,0.831679,-146.456715,3.755353,-0.55138,0.065496,-0.831679
10,2026-03-26,19:11:07.96,1,2,"Mercurius, LJ",702969,Right,OKL_SOO,"Mendoza, Ethan",806453,Right,TEX_LON,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.42643,-3.976678,-2.242543,2488.87567,202.150713,12:45,5.83317,1.75203,6.17545,-14.01414,17.91143,6.85461,0.98395,0.25109,85.19121,-6.66236,-1.00665,0.406669,,,,,,,,,,,,-4.18347,10.73131,-1.58572,50,5.52449,5.00487,-135.32959,-9.79473,-7.72877,30.57902,-12.34841,TEX_LON,OKL_SOO,Texas,D1,SEC,20260326-Texas-1,74558140-2971-11f1-9400-092303d8cf36,92.68588,,,8.23523,,,,,,,48049171-b6be-486e-9157-0b9907eb6c41,2026-03-27,00:11:07.96,2026-03-26T19:11:07.9646208-05:00,2026-03-27T00:11:07.9646208Z,,v3,471466,4244,425453df17b24ffa97e53d4045078975,"Brock, Brendan",833392,Right,OKL_SOO,cd0542c4-acf1-4500-8a58-83839d9932f7,54.32284,-136.30288,15.28951,5.82999,-9.4017,-6.1742,-1.74893,5.25087,-3.86438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,216.717461,2.217656,2487.0116,0.999251,1:15,-0.028516,-0.598667,-0.80049,-46.490556,30.234471,-20.299282,145.941408,2.410475,0.559545,0.042058,-0.827732,2.908783,34.024328,0.042058,0.559545,0.827732,-2.908783,-34.024328,-0.042058,-0.559545,0.827732,-145.941408,-2.410475,-0.559545,-0.042058,-0.827732
