GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
94f9b3df-f1ff-47a1-b734-4368ac784bdc,1,e87257e0-2892-11f1-b116-bfab16f8f625,ca4d36e0-0d75-4fad-9533-ba7fbf3b70ec,2026-03-25,16:38:04.44,2026-03-25,21:38:04.44,2026-03-25T16:38:04.4453376-05:00,2026-03-25T21:38:04.4453376Z,SOU_RED,SOU_RED,BallCalled,Undefined,NoShift,,,,,,,,,,,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,2,f1a9f660-2892-11f1-b116-bfab16f8f625,6aafba80-9f71-48fd-b609-3720d3ecb905,2026-03-25,16:38:19.87,2026-03-25,21:38:19.87,2026-03-25T16:38:19.8769664-05:00,2026-03-25T21:38:19.8769664Z,SOU_RED,SOU_RED,BallCalled,Undefined,NoShift,,,,,,,,,,,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,3,fbe76c20-2892-11f1-b116-bfab16f8f625,169d396e-fc38-4f7a-8f3d-a716616bb329,2026-03-25,16:38:37.16,2026-03-25,21:38:37.16,2026-03-25T16:38:37.1654656-05:00,2026-03-25T21:38:37.1654656Z,SOU_RED,SOU_RED,InPlay,Out,NoShift,,,,,,,,,,,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,4,0dba9030-2893-11f1-b116-bfab16f8f625,3a0b0c70-d9b2-4696-a999-a389cdb8d40c,2026-03-25,16:39:06.98,2026-03-25,21:39:06.98,2026-03-25T16:39:06.9876224-05:00,2026-03-25T21:39:06.9876224Z,SOU_RED,SOU_RED,StrikeCalled,Undefined,NoShift,,,,,,,,,,,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,5,170abfc0-2893-11f1-b116-bfab16f8f625,dd129409-cfcc-46c7-95a4-1ad9bd7393d3,2026-03-25,16:39:22.65,2026-03-25,21:39:22.65,2026-03-25T16:39:22.6541056-05:00,2026-03-25T21:39:22.6541056Z,SOU_RED,SOU_RED,InPlay,Out,NoShift,,,,,,,,,,,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,6,27c4d2b0-2893-11f1-b116-bfab16f8f625,4b6f04a2-79a7-43aa-a7c0-18f0b8d45da7,2026-03-25,16:39:50.78,2026-03-25,21:39:50.78,2026-03-25T16:39:50.7812864-05:00,2026-03-25T21:39:50.7812864Z,SOU_RED,SOU_RED,BallCalled,Undefined,NoShift,,,,,,,,,266.96859,-160.94922,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,7,3468c120-2893-11f1-b116-bfab16f8f625,6aa560e7-fbf8-4e99-ad6f-6df190d918ba,2026-03-25,16:40:11.93,2026-03-25,21:40:11.93,2026-03-25T16:40:11.9355392-05:00,2026-03-25T21:40:11.9355392Z,SOU_RED,SOU_RED,BallCalled,Undefined,NoShift,,,,,,,,,194.94145,-110.60751,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,8,4283bf30-2893-11f1-b116-bfab16f8f625,771d6c44-bdc8-461c-bcc1-8aaec001f93d,2026-03-25,16:40:35.58,2026-03-25,21:40:35.58,2026-03-25T16:40:35.5877376-05:00,2026-03-25T21:40:35.5877376Z,SOU_RED,SOU_RED,InPlay,HomeRun,NoShift,,,,,,,,,,,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,9,5844bf40-2893-11f1-b116-bfab16f8f625,4c023af1-93d1-4a3b-9b47-7dc0a34525ae,2026-03-25,16:41:12.05,2026-03-25,21:41:12.05,2026-03-25T16:41:12.0527872-05:00,2026-03-25T21:41:12.0527872Z,SOU_RED,SOU_RED,StrikeCalled,Undefined,NoShift,,,,,,,,,,,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
94f9b3df-f1ff-47a1-b734-4368ac784bdc,10,62719330-2893-11f1-b116-bfab16f8f625,6b72728b-1d07-45fd-ae0a-c7e8829dc2a6,2026-03-25,16:41:29.18,2026-03-25,21:41:29.18,2026-03-25T16:41:29.1875328-05:00,2026-03-25T21:41:29.1875328Z,SOU_RED,SOU_RED,BallCalled,Undefined,NoShift,,,,,,,,,,,,,,,"Mertens, Nathan",1000118443,"Grace, Ranard",1000076258,"Menth, Alexander",10180011,"Carroll, Andrew",1000138542,"Johnston, Gavin",1000214547,"Sauer, John-Paul",815663,"Keldsen, Joseph",10302057,true
