PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-25,16:03:14.50,1,1,"Bradley, Grant",827866,Right,MIC_WOL,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.6143,-2.12997,-3.206164,2299.701513,218.349092,1:15,5.84512,0.97909,6.18336,-18.32796,14.77528,10.82575,2.34694,-1.08249,83.51969,-5.608598,-1.255972,0.414101,,,,,,,,,,,,-6.50406,8.58099,-0.74208,50,5.67463,6.98511,-132.84496,-5.49253,-11.58778,29.26076,-16.88597,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,a8b06550-2885-11f1-ae5f-87a92887bf93,91.02223,,,8.09461,,,,,,,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:03:14.50,2026-03-25T16:03:14.5088000-04:00,2026-03-25T20:03:14.5088000Z,,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,4222d5c8-4775-4213-8109-0ca27994b4ea,54.31584,-133.7922,14.63038,5.84359,-4.94589,-8.44299,-0.97427,7.36023,-5.79389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-25,16:03:33.71,1,2,"Bradley, Grant",827866,Right,MIC_WOL,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.6423,-0.574543,-3.381566,2380.958071,55.558801,7:45,5.64555,1.19968,6.11781,-41.2329,-1.59118,-4.07276,1.67733,-2.26982,77.08871,-8.155927,-4.114445,0.453156,,,,,,,,,,,,1.15874,-0.26272,-0.93824,50,5.58024,7.33008,-121.40344,-2.56744,1.72953,23.74272,-32.56621,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,b4279390-2885-11f1-ae5f-87a92887bf93,83.17763,,,6.55359,,,,,,,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:03:33.71,2026-03-25T16:03:33.7198592-04:00,2026-03-25T20:03:33.7198592Z,,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,3dae90ef-0a6c-413b-bade-619c7cac363d,54.38309,-122.25763,11.87136,5.65153,-1.39581,-16.2831,-1.20083,7.26785,0.86476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-25,16:03:50.50,1,3,"Bradley, Grant",827866,Right,MIC_WOL,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.58711,-1.615983,-3.215869,2330.442317,213.754445,1:15,5.75691,1.02751,6.24673,-17.63257,14.78229,9.14815,2.79434,-1.1793,84.10508,-4.979263,-1.566334,0.409773,,,,,,,,,,,,-5.6717,8.4617,-0.79228,50,5.62769,7.1533,-134.25648,-4.30757,-10.28781,30.74811,-16.82546,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,be276410-2885-11f1-ae5f-87a92887bf93,91.98368,,,8.48203,,,,,,,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:03:50.50,2026-03-25T16:03:50.5017344-04:00,2026-03-25T20:03:50.5017344Z,,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,2e8d94ff-90b5-40a3-96f2-30dbc8127970,54.25162,-135.2267,15.37405,5.75523,-3.77666,-8.41273,-1.02312,7.47792,-5.1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-25,16:04:09.48,1,4,"Bradley, Grant",827866,Right,MIC_WOL,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.63499,-2.901393,-2.454108,2416.913636,209.339471,1:00,5.8683,0.82489,6.1721,-14.32253,18.13989,9.57819,1.99023,-0.64497,84.26081,-5.657968,-0.727665,0.410074,80.55857,48.77962,46.705502,5227.768718,62.14456,96.23297,90.76342,245.11697,108.11114,62.413818,5.179464,-5.69292,10.57835,-0.64388,50,5.641,5.35386,-134.31429,-7.20195,-10.33877,30.68242,-12.96297,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,c9690360-2885-11f1-ae5f-87a92887bf93,91.91629,101.57447,,8.37419,,,,1.31552,1.87684,0.53951,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:04:09.48,2026-03-25T16:04:09.4819328-04:00,2026-03-25T20:04:09.4819328Z,FlyBall,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,591a4dae-dfb2-4c54-8ec3-a9f9bfd1a9a5,54.32773,-135.29929,15.34121,5.86553,-6.7858,-6.48148,-0.82109,5.68577,-5.16938,211.911675,1.33702,52.9486,-15.37055,1.6412,1.61223,-0.98688,0.24853,-0.02975,0.00138,1.8722,88.93077,-23.52127,2.09642,-0.10905,-0.15056,0.0666,-0.0111,0.00066,0.54012,56.64023,-4.82245,0.21897,0.32318,-0.18513,0.05051,-0.00684,0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-25,16:04:33.15,1,5,"Bradley, Grant",827866,Right,MIC_WOL,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.07351,-0.695637,-1.476821,2255.774184,218.811455,1:15,5.7724,0.99202,6.18044,-17.9141,14.51717,10.89099,3.63692,0.5355,84.46099,-4.092164,0.488251,0.409877,67.00922,68.126956,-169.028307,5137.864876,-108.55499,68.24191,-17.77083,143.00988,41.12191,-170.88581,4.358182,-6.06721,8.01422,-0.886,50,5.71065,3.00463,-133.87339,-2.16808,-11.05211,27.88388,-17.57519,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,d7889550-2885-11f1-ae5f-87a92887bf93,91.9604,87.71069,,7.61251,,,,1.58447,3.64927,-0.53581,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:04:33.15,2026-03-25T16:04:33.1502592-04:00,2026-03-25T20:04:33.1502592Z,Popup,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,8283370d-fda1-4495-a0f5-7df9835593cd,54.32099,-134.77038,13.94194,5.7713,-1.60271,-8.7876,-0.98838,3.36017,-5.52605,2.889575,1.58201,-35.88884,-4.13506,3.08156,-1.12004,0.28777,-0.04021,0.00199,4E-05,3.65113,91.15199,-30.13766,3.47828,-0.12176,-0.24523,0.09129,-0.01393,0.00079,-0.53626,-6.95765,0.41634,0.12826,-0.11245,0.04519,-0.00937,0.00094,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-25,16:05:00.00,1,6,"Bradley, Grant",827866,Right,MIC_WOL,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.76554,-1.462446,-2.626337,2221.233172,227.364937,1:30,5.83837,0.71282,6.32122,-20.92753,10.84713,10.75489,2.74577,-0.81152,85.34648,-5.397536,-0.681885,0.405706,79.60193,-0.759954,14.527557,2286.270224,,,,41.39885,40.91984,16.956944,0.36003,-6.30705,6.32394,-0.52579,50,5.72127,5.74675,-134.80249,-4.1031,-11.67332,27.70068,-20.46947,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,e78cecd0-2885-11f1-ae5f-87a92887bf93,92.90572,2.62815,,7.41906,,,,0.92635,2.62815,0.77535,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:05:00.00,2026-03-25T16:05:00.0064000-04:00,2026-03-25T20:05:00.0064000Z,GroundBall,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,c85419ad-16d2-4185-aadb-83b9302bccb2,54.18035,-135.65879,13.85034,5.83832,-3.47033,-10.23473,-0.70901,6.10761,-5.83666,273.204142,0.93038,112.85749,-15.17782,,,,,,,2.6308,-1.64647,-15.74274,,,,,,,0.77176,29.41679,5.51489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-25,16:05:32.41,2,1,"Bradley, Grant",827866,Right,MIC_WOL,"Scholvin, Charlie",839366,Right,TOL_ROC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.88004,-1.964585,-3.389056,2284.867234,215.13009,1:15,5.83416,0.88602,6.25174,-16.74028,15.49544,10.1317,2.62346,-1.3988,84.34246,-5.165985,-1.562447,0.408639,,,,,,,,,,,,-6.21004,8.92516,-0.63846,50,5.67948,7.5337,-134.6207,-5.10198,-11.32538,30.9186,-15.897,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,fad831f0-2885-11f1-ae5f-87a92887bf93,92.23886,,,8.53758,,,,,,,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:05:32.41,2026-03-25T16:05:32.4182528-04:00,2026-03-25T20:05:32.4182528Z,,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,147522a4-c964-47c7-81e0-17279af3a44c,54.24595,-135.59237,15.4593,5.83197,-4.60239,-7.9485,-0.88082,7.88962,-5.66269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-25,16:05:50.36,2,2,"Bradley, Grant",827866,Right,MIC_WOL,"Scholvin, Charlie",839366,Right,TOL_ROC,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.06981,-2.83867,-3.158951,2366.93589,216.598897,1:15,5.79684,0.75348,6.12906,-17.32269,15.7665,10.84426,1.72317,-1.26582,83.43998,-6.140884,-1.207115,0.414013,,,,,,,,,,,,-6.52319,9.33619,-0.51708,50,5.57032,6.88774,-133.32992,-7.12469,-11.63125,31.19942,-15.52711,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,05981e20-2886-11f1-ae5f-87a92887bf93,91.0416,,,8.62983,,,,,,,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:05:50.36,2026-03-25T16:05:50.3680000-04:00,2026-03-25T20:05:50.3680000Z,,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,e209f490-bf42-4179-9d27-acf7d7684254,54.36856,-134.34828,15.59971,5.79459,-6.61787,-7.76355,-0.74809,7.26739,-5.81562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-25,16:06:07.29,2,3,"Bradley, Grant",827866,Right,MIC_WOL,"Scholvin, Charlie",839366,Right,TOL_ROC,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.35549,-0.805462,-3.524341,2393.22358,224.514778,1:30,5.72903,1.04177,6.22752,-20.06229,12.89402,11.69737,3.31256,-1.23927,83.82681,-4.591037,-1.416814,0.413181,,,,,,,,,,,,-6.9589,7.20075,-0.78358,50,5.6586,7.6789,-132.61523,-2.48238,-12.46012,26.91633,-19.28092,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,0fa9f000-2886-11f1-ae5f-87a92887bf93,91.22496,,,7.52867,,,,,,,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:06:07.29,2026-03-25T16:06:07.2933376-04:00,2026-03-25T20:06:07.2933376Z,,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,4f7cc9be-2282-4428-aae1-2be6067dc084,54.27246,-133.47957,13.45817,5.72838,-1.86323,-9.64046,-1.03659,8.07902,-6.23006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-25,16:06:25.92,2,4,"Bradley, Grant",827866,Right,MIC_WOL,"Scholvin, Charlie",839366,Right,TOL_ROC,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.30476,-1.824498,-2.384278,2312.152442,221.817211,1:30,5.74866,0.82743,6.10854,-20.33194,12.86788,10.58717,2.36514,-0.49638,83.70198,-5.649065,-0.477345,0.414705,,,,,,,,,,,,-6.08847,7.45284,-0.64954,50,5.59765,5.07091,-132.56131,-4.86504,-10.86006,27.69314,-18.88028,MIC_WOL,TOL_ROC,RayFisher,D1,BIG10,20260325-RayFisher-1,1ac060a0-2886-11f1-ae5f-87a92887bf93,90.88973,,,7.60279,,,,,,,58583b49-558e-47f9-97f4-8181f43a358b,2026-03-25,20:06:25.92,2026-03-25T16:06:25.9282944-04:00,2026-03-25T20:06:25.9282944Z,,v3,2290,471468,30436,"Miller, Noah",806165,Right,MIC_WOL,5ba6240a-004f-43cf-8dad-eaa433b4642e,54.39106,-133.47548,13.84657,5.74796,-4.24178,-9.44014,-0.82286,5.42941,-5.43003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
