PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-02-28,16:01:19.52,1,1,"Allen, Cooper",823983,Right,UNC_SEA,"Menzel, Evan",837534,Left,UCO_HUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.55603,-1.196693,-3.266297,2460.864468,192.137628,12:30,5.57395,2.00666,6.4702,-16.0269,18.65781,3.73984,3.13736,-0.68475,80.57061,-4.317083,-2.58964,0.423878,65.07128,53.790188,-163.127184,4370.722583,-104.78247,54.95712,-33.47586,159.03603,64.13911,-162.845071,3.502971,-3.02095,10.50603,-1.77772,50,5.48212,7.25747,-129.79555,-3.10114,-5.06584,31.4778,-14.55645,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,a1923d80-14e8-11f1-94f1-e753cd10e66d,88.92293,60.55617,,8.98542,,,,0.32758,3.16786,0.7112,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:01:19.52,2026-02-28T16:01:19.5274240-05:00,2026-02-28T21:01:19.5274240Z,Popup,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,8a6f76f9-5140-44b1-950b-6c3f11d0e2d1,54.02707,-130.76854,15.7389,5.57102,-2.65119,-7.27823,-2.00447,7.41406,-2.53292,352.865256,0.3273,-53.94637,0.94908,1.35846,-0.41092,0.01692,0.04103,-0.01284,0.00118,3.16851,76.98277,-30.70349,3.95243,-0.46544,-0.10675,0.06278,-0.01087,0.00065,0.71114,-16.36369,-1.3821,1.26355,-0.30053,0.00295,0.02784,-0.00789,0.00069,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-28,16:01:38.75,1,2,"Allen, Cooper",823983,Right,UNC_SEA,"Menzel, Evan",837534,Left,UCO_HUS,Undefined,1,Top,0,0,1,Sinker,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.56387,-0.727857,-1.805047,2577.075516,216.771125,1:15,5.58371,1.93512,6.26316,-17.57686,16.81151,11.73666,3.4475,1.24832,81.65305,-4.091589,0.315326,0.422063,,,,,,,,,,,,-6.59118,9.26186,-1.80677,50,5.52098,3.62281,-130.11694,-2.13743,-11.27354,27.89412,-16.33258,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,ad0a7d30-14e8-11f1-94f1-e753cd10e66d,89.30525,,,7.91082,,,,,,,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:01:38.75,2026-02-28T16:01:38.7589632-05:00,2026-02-28T21:01:38.7589632Z,,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,0c4c9eb0-63b1-4b91-a692-b750f2bd228f,54.23638,-131.02198,13.94706,5.58173,-1.60752,-8.16629,-1.93025,3.98859,-5.63677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-28,16:01:56.71,1,3,"Allen, Cooper",823983,Right,UNC_SEA,"Menzel, Evan",837534,Left,UCO_HUS,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.17423,-0.815744,-3.455954,1317.089973,253.818026,2:30,5.38849,1.98524,6.39195,-31.03561,5.83965,15.30304,2.05047,0.07791,78.27889,-6.658468,-0.6866,0.437058,92.62901,0.385359,20.334963,2899.089461,,,,51.03929,45.76484,20.862341,0.39204,-9.14414,3.73197,-1.74319,50,5.31582,7.02285,-126.30752,-2.75851,-14.44682,31.00823,-26.27794,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,b7c31660-14e8-11f1-94f1-e753cd10e66d,86.24131,2.07644,,8.89533,,,,0.96177,2.06368,-0.11741,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:01:56.71,2026-02-28T16:01:56.7123968-05:00,2026-02-28T21:01:56.7123968Z,GroundBall,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,2191f766-b293-49d3-b174-6c8a1647449f,54.10642,-127.31165,15.50411,5.39137,-1.90756,-13.13897,-1.97818,7.49068,-7.22341,271.304728,0.97281,127.00841,-20.05632,,,,,,,2.06784,0.77219,-15.44979,,,,,,,-0.11837,47.24333,-1.46847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-28,16:02:28.75,2,1,"Allen, Cooper",823983,Right,UNC_SEA,"Taylor, Chase",1000350741,Left,UCO_HUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.07168,-0.073338,-2.468974,2589.674138,214.122195,1:15,5.64031,1.79595,6.11237,-16.86434,17.52887,11.09316,4.16708,0.436,81.61407,-3.313301,-0.47221,0.422093,,,,,,,,,,,,-6.41323,9.38347,-1.61184,50,5.62571,5.16175,-130.69341,-0.6306,-11.01518,29.3331,-16.05722,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,cad2d920-14e8-11f1-94f1-e753cd10e66d,89.299,,,8.45761,,,,,,,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:02:28.75,2026-02-28T16:02:28.7500000-05:00,2026-02-28T21:02:28.7500000Z,,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,199a980c-aa75-4d78-bb94-680cdc142d13,54.38541,-131.674,14.66655,5.63782,-0.09382,-8.02861,-1.79055,5.52998,-5.50759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-28,16:02:44.16,2,2,"Allen, Cooper",823983,Right,UNC_SEA,"Taylor, Chase",1000350741,Left,UCO_HUS,Undefined,1,Top,1,1,0,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.05938,-0.145404,-1.91993,2585.658589,180.076694,12:00,5.43194,2.17054,5.96943,-36.36703,4.4024,0.00402,2.26647,0.39014,75.48746,-6.894777,-1.919206,0.459556,82.17549,-10.76577,20.425151,,,,,14.49143,11.26749,16.456361,0.108154,-0.59949,2.6852,-2.0184,50,5.40017,4.04051,-120.53897,-1.46841,-0.87198,25.92224,-28.26837,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,d40b13e0-14e8-11f1-94f1-e753cd10e66d,82.01921,2.4405,,7.57192,,,,1.86956,2.4405,-0.37407,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:02:44.16,2026-02-28T16:02:44.1684992-05:00,2026-02-28T21:02:44.1684992Z,GroundBall,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,b2aaa906-4117-464a-92c6-69c9e84ac512,54.53066,-121.50939,12.96112,5.43533,-0.41016,-14.13419,-2.17027,4.07315,-0.43599,180,1.86511,111.21434,,,,,,,,2.4414,-22.56511,,,,,,,,-0.37573,41.41582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-28,16:03:18.07,3,1,"Allen, Cooper",823983,Right,UNC_SEA,"Marshall, Jackson",837532,Right,UCO_HUS,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.50562,0.22654,-2.101113,2483.464126,214.297762,1:15,5.68276,1.88238,6.16473,-18.91548,15.85611,10.01434,4.31588,0.77514,81.06415,-3.390026,-0.296177,0.424408,,,,,,,,,,,,-5.78516,8.46512,-1.72787,50,5.6902,4.34785,-129.91123,-0.02513,-9.80653,29.27384,-17.82462,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,e8423fa0-14e8-11f1-94f1-e753cd10e66d,88.81178,,,8.44147,,,,,,,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:03:18.07,2026-02-28T16:03:18.0780000-05:00,2026-02-28T21:03:18.0780000Z,,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,aab50b35-7a6f-4804-b524-6a4db4d73856,54.33343,-130.88407,14.63692,5.68119,0.56722,-8.91231,-1.87778,4.67375,-4.90326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-28,16:03:32.59,3,2,"Allen, Cooper",823983,Right,UNC_SEA,"Marshall, Jackson",837532,Right,UCO_HUS,Undefined,1,Top,2,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.77489,-2.466549,-3.744513,2384.966449,221.100754,1:15,5.63161,1.74186,6.53452,-18.47903,17.5678,14.16375,1.82291,-0.51754,79.1276,-6.034668,-1.177903,0.432121,,,,,,,,,,,,-8.62343,10.38977,-1.4873,50,5.45194,7.77018,-127.1157,-5.94736,-13.88661,29.90437,-15.44306,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,f0e53f40-14e8-11f1-94f1-e753cd10e66d,87.22668,,,8.64729,,,,,,,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:03:32.59,2026-02-28T16:03:32.5920000-05:00,2026-02-28T21:03:32.5920000Z,,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,735d4771-9e82-41bd-9ea4-d7e3c9a4912b,53.96392,-128.04482,14.95219,5.62927,-5.46755,-7.72153,-1.73542,8.20164,-6.94331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-28,16:03:48.57,3,3,"Allen, Cooper",823983,Right,UNC_SEA,"Marshall, Jackson",837532,Right,UCO_HUS,Undefined,1,Top,2,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.47858,-2.449786,-2.72367,2383.06249,235.054017,1:45,5.58787,1.85779,6.45667,-20.66509,14.29705,18.52088,1.61136,0.8972,80.21484,-6.411732,0.634779,0.425569,108.61079,12.457569,-40.634584,4241.724412,79.51067,14.48171,-76.01322,212.40084,179.83041,-47.685103,1.679603,-10.69591,8.72008,-1.67307,50,5.40516,5.44147,-129.65342,-6.1235,-17.76993,33.16569,-17.68677,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,fa66df10-14e8-11f1-94f1-e753cd10e66d,88.56943,14.47969,,9.26374,,,,2.75732,1.77063,-0.91278,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:03:48.57,2026-02-28T16:03:48.5761024-05:00,2026-02-28T21:03:48.5761024Z,LineDrive,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,28d331cd-cf62-4436-91b7-6b468e03fcb3,54.04291,-130.68351,16.58285,5.58682,-5.57417,-8.84338,-1.85064,5.99339,-8.88497,,2.75732,118.03982,-27.21049,5.56976,-1.33169,0.31158,-0.07685,0.01659,-0.00195,1.77063,34.36268,-25.65864,3.80231,-0.91955,0.23049,-0.05389,0.01069,-0.00116,-0.91278,-101.29604,4.03143,1.02706,-0.47206,0.16885,-0.04808,0.01093,-0.00132,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-28,16:04:15.91,3,4,"Allen, Cooper",823983,Right,UNC_SEA,"Marshall, Jackson",837532,Right,UCO_HUS,Undefined,1,Top,2,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.87828,-1.23292,-3.331318,2743.141579,135.366452,10:30,5.33924,2.06799,6.06284,-37.11041,2.78748,-1.42256,1.1035,-1.13725,76.52252,-8.090629,-3.587095,0.454618,,,,,,,,,,,,-0.28972,2.18819,-1.80846,50,5.22358,7.13255,-121.6006,-3.81083,-0.4293,26.15216,-28.93161,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,0ab86c30-14e9-11f1-94f1-e753cd10e66d,82.91016,,,7.35576,,,,,,,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:04:15.91,2026-02-28T16:04:15.9149568-05:00,2026-02-28T21:04:15.9149568Z,,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,1f88664b-ed29-49f2-8bfb-b57eda5af433,54.43754,-122.55125,13.07608,5.343,-2.75914,-14.46581,-2.06802,7.14815,-0.21465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-28,16:04:35.55,3,5,"Allen, Cooper",823983,Right,UNC_SEA,"Marshall, Jackson",837532,Right,UCO_HUS,Undefined,1,Top,2,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.02455,-1.27243,-4.297708,2646.84297,165.290253,11:30,5.38142,1.95518,6.09674,-34.67049,4.2424,-0.76433,1.31179,-2.09108,77.40581,-7.692066,-4.434883,0.448971,,,,,,,,,,,,-0.93882,3.00614,-1.62327,50,5.26524,9.28001,-123.08148,-3.8618,-1.42466,26.88223,-27.61224,UNC_SEA,UCO_HUS,BrooksField,D1,CAA,20260228-BrooksField-1,167025e0-14e9-11f1-94f1-e753cd10e66d,83.95299,,,7.61875,,,,,,,d4485e49-4bef-4c35-abfb-52052893c87a,2026-02-28,21:04:35.55,2026-02-28T16:04:35.5518976-05:00,2026-02-28T21:04:35.5518976Z,,v3,471373,471275,31c2989a8e7e479e8387eb1da290d80d,"Martinez, Josh",10956763,Right,UNC_SEA,7f54bae7-3f1c-4bad-af4a-6b8d3db28f25,54.4015,-124.03909,13.44112,5.38529,-2.87819,-13.80612,-1.95475,9.33076,-0.71233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
